SchemaName,ProcName,CreateDate,ModifyDate,ParamCount,ReferencedInCode,SqlFile
euroamer_admin_2008,Venta_CuponValidar,2017-03-25 18:41:08,2017-03-25 18:41:08,5,SI,sql/euroamer_admin_2008.Venta_CuponValidar.sql
euroamer_admin_2008,Venta_Obtener,2026-04-13 04:40:56,2026-04-13 04:40:56,15,SI,sql/euroamer_admin_2008.Venta_Obtener.sql
euroamer_admin_2008,Venta_Obtener_2026,2026-04-13 07:18:35,2026-09-07 00:41:10,16,SI,sql/euroamer_admin_2008.Venta_Obtener_2026.sql
euroamer_admin_2008,Venta_Obtener_backup,2026-04-16 02:00:32,2026-04-16 02:00:32,15,NO,sql/euroamer_admin_2008.Venta_Obtener_backup.sql
euroamer_admin_2008,Venta_Obtener_nuevo,2026-03-17 09:49:21,2026-04-13 02:44:30,13,NO,sql/euroamer_admin_2008.Venta_Obtener_nuevo.sql
euroamer_admin_2008,Venta_Obtener_ORIGINAL,2015-05-19 09:28:10,2015-05-19 09:28:10,12,NO,sql/euroamer_admin_2008.Venta_Obtener_ORIGINAL.sql
euroamer_admin_2008,Venta_Obtener_test,2015-05-19 08:58:59,2015-09-22 14:51:05,12,NO,sql/euroamer_admin_2008.Venta_Obtener_test.sql
euroamer_admin_2008,Venta_ObtenerCliente,2015-08-17 19:27:43,2022-01-29 05:46:34,2,SI,sql/euroamer_admin_2008.Venta_ObtenerCliente.sql
euroamer_admin_2008,Venta_ObtenerCorreo,2014-08-03 18:34:10,2018-01-12 09:49:08,1,SI,sql/euroamer_admin_2008.Venta_ObtenerCorreo.sql
euroamer_admin_2008,Venta_ObtenerDescuentoVentas,2025-08-04 04:04:39,2025-08-04 04:48:27,1,SI,sql/euroamer_admin_2008.Venta_ObtenerDescuentoVentas.sql
euroamer_admin_2008,Venta_ObtenerGestionIncentivos,2016-02-15 21:06:18,2026-08-26 04:06:55,1,SI,sql/euroamer_admin_2008.Venta_ObtenerGestionIncentivos.sql
euroamer_admin_2008,Venta_ObtenerNuevo,2019-09-10 13:44:42,2025-10-14 02:57:19,15,NO,sql/euroamer_admin_2008.Venta_ObtenerNuevo.sql
euroamer_admin_2008,Venta_ObtenerPasajero,2021-12-15 06:40:24,2021-12-15 10:33:22,2,NO,sql/euroamer_admin_2008.Venta_ObtenerPasajero.sql
euroamer_admin_2008,Venta_ObtenerTarjetasVencidas,2015-04-14 21:09:43,2015-05-28 11:00:12,0,SI,sql/euroamer_admin_2008.Venta_ObtenerTarjetasVencidas.sql
euroamer_admin_2008,Venta_ObtenerVentasEspecificas,2013-12-24 08:51:00,2026-02-06 07:15:06,2,SI,sql/euroamer_admin_2008.Venta_ObtenerVentasEspecificas.sql
euroamer_admin_2008,Venta_Procesar,2018-10-31 14:56:39,2018-10-31 14:56:39,31,NO,sql/euroamer_admin_2008.Venta_Procesar.sql
euroamer_admin_2008,Venta_ProcesarNuevo,2019-09-10 13:49:24,2025-01-02 08:57:19,32,SI,sql/euroamer_admin_2008.Venta_ProcesarNuevo.sql
euroamer_admin_2008,Venta_Validar,2023-07-12 03:15:37,2023-07-21 01:28:36,12,SI,sql/euroamer_admin_2008.Venta_Validar.sql
euroamer_admin_2008,Venta_VigenciaValidar,2023-07-31 00:57:50,2023-07-31 01:11:09,2,SI,sql/euroamer_admin_2008.Venta_VigenciaValidar.sql
euroamer_admin_2008,Venta_WEB_Procesar,2018-12-18 15:11:07,2019-02-27 11:14:44,35,SI,sql/euroamer_admin_2008.Venta_WEB_Procesar.sql
euroamer_admin_2008,VentaCancelada_Detalle,2020-12-15 09:42:33,2025-09-08 08:06:29,2,SI,sql/euroamer_admin_2008.VentaCancelada_Detalle.sql
euroamer_admin_2008,VentaCliente_Eliminar,2015-01-30 10:30:58,2025-01-02 06:23:45,1,SI,sql/euroamer_admin_2008.VentaCliente_Eliminar.sql
euroamer_admin_2008,VentaCliente_Obtener,2015-01-30 10:30:58,2015-01-30 10:30:58,1,NO,sql/euroamer_admin_2008.VentaCliente_Obtener.sql
euroamer_admin_2008,VentaCliente_Obtener_2026,2026-08-31 08:22:22,2026-08-31 08:22:22,1,SI,sql/euroamer_admin_2008.VentaCliente_Obtener_2026.sql
euroamer_admin_2008,VentaCliente_Procesar,2015-01-30 10:30:58,2025-01-02 08:57:19,15,NO,sql/euroamer_admin_2008.VentaCliente_Procesar.sql
euroamer_admin_2008,VentaCliente_Procesar_2026,2026-08-31 08:22:22,2026-08-31 08:22:22,16,SI,sql/euroamer_admin_2008.VentaCliente_Procesar_2026.sql
euroamer_admin_2008,VentaCupon_Eliminar,2017-03-25 18:41:08,2017-03-25 18:41:08,1,NO,sql/euroamer_admin_2008.VentaCupon_Eliminar.sql
euroamer_admin_2008,VentaCupon_Obtener,2017-03-25 18:41:08,2017-03-25 18:41:08,6,NO,sql/euroamer_admin_2008.VentaCupon_Obtener.sql
euroamer_admin_2008,VentaCupon_Procesar,2017-03-25 18:41:08,2017-03-25 18:41:08,8,NO,sql/euroamer_admin_2008.VentaCupon_Procesar.sql
euroamer_admin_2008,VentaGrupal_Actualizar_Situacion,2018-08-07 06:53:51,2018-08-07 06:53:51,2,SI,sql/euroamer_admin_2008.VentaGrupal_Actualizar_Situacion.sql
euroamer_admin_2008,VentaGrupal_Lista,2018-08-08 09:26:11,2020-12-10 03:51:11,1,SI,sql/euroamer_admin_2008.VentaGrupal_Lista.sql
euroamer_admin_2008,VentaGrupal_Procesar,2016-12-09 20:42:05,2026-04-28 03:54:20,20,NO,sql/euroamer_admin_2008.VentaGrupal_Procesar.sql
euroamer_admin_2008,VentaGrupal_Procesar_2026,2026-08-24 08:43:00,2026-09-07 01:04:01,21,SI,sql/euroamer_admin_2008.VentaGrupal_Procesar_2026.sql
euroamer_admin_2008,VentaGrupal_Procesar_old,2025-02-11 12:27:22,2025-02-11 12:27:22,19,NO,sql/euroamer_admin_2008.VentaGrupal_Procesar_old.sql
euroamer_admin_2008,VentaGrupalWEB_Procesar,2024-08-12 10:09:59,2024-08-12 10:09:59,20,SI,sql/euroamer_admin_2008.VentaGrupalWEB_Procesar.sql
euroamer_admin_2008,VentaGrupoSituacionWEB_Actualizar,2020-12-10 03:59:13,2020-12-10 03:59:13,2,SI,sql/euroamer_admin_2008.VentaGrupoSituacionWEB_Actualizar.sql
euroamer_admin_2008,VentaMasiva_Procesar,2016-12-09 20:42:04,2016-12-29 22:31:51,26,NO,sql/euroamer_admin_2008.VentaMasiva_Procesar.sql
euroamer_admin_2008,VentaMasiva_ProcesarConsultar,2015-08-16 08:00:32,2015-08-16 08:00:32,1,NO,sql/euroamer_admin_2008.VentaMasiva_ProcesarConsultar.sql
euroamer_admin_2008,VentaMasiva_ProcesarConsultarNuevo,2019-09-11 06:57:45,2025-01-02 08:57:20,1,SI,sql/euroamer_admin_2008.VentaMasiva_ProcesarConsultarNuevo.sql
euroamer_admin_2008,VentaMasiva_ProcesarNuevo,2019-09-11 06:44:11,2025-08-13 09:02:36,27,NO,sql/euroamer_admin_2008.VentaMasiva_ProcesarNuevo.sql
euroamer_admin_2008,VentaMasiva_ProcesarNuevo_2026,2026-08-24 08:43:00,2026-08-24 08:43:00,28,SI,sql/euroamer_admin_2008.VentaMasiva_ProcesarNuevo_2026.sql
euroamer_admin_2008,VentaMasivaATV_ProcesarConsultar,2016-12-09 20:42:05,2016-12-09 20:42:05,1,NO,sql/euroamer_admin_2008.VentaMasivaATV_ProcesarConsultar.sql
euroamer_admin_2008,VentaMasivaATV_ProcesarConsultarNuevo,2019-09-11 06:51:11,2025-01-02 08:57:20,1,SI,sql/euroamer_admin_2008.VentaMasivaATV_ProcesarConsultarNuevo.sql
euroamer_admin_2008,VentaPendiente_Detalle,2018-07-08 12:50:12,2018-07-12 09:19:10,1,SI,sql/euroamer_admin_2008.VentaPendiente_Detalle.sql
euroamer_admin_2008,VentaPromo_Procesar,2017-03-25 18:41:08,2017-03-25 18:41:08,19,SI,sql/euroamer_admin_2008.VentaPromo_Procesar.sql
euroamer_admin_2008,Ventas_RangoEdad_Obtener,2025-04-03 06:09:45,2025-04-29 08:52:49,9,SI,sql/euroamer_admin_2008.Ventas_RangoEdad_Obtener.sql
euroamer_admin_2008,VentasAgencia_Obtener,2018-02-02 13:11:02,2025-10-01 03:15:24,5,SI,sql/euroamer_admin_2008.VentasAgencia_Obtener.sql
euroamer_admin_2008,VentasAgenciaMensuales_Obtener,2018-02-05 15:26:57,2026-01-07 02:59:53,7,SI,sql/euroamer_admin_2008.VentasAgenciaMensuales_Obtener.sql
euroamer_admin_2008,VentaSituacion_Actualizar,2018-07-12 13:19:22,2018-07-13 07:13:25,2,SI,sql/euroamer_admin_2008.VentaSituacion_Actualizar.sql
euroamer_admin_2008,VentasPaisAnual_Obtener,2018-02-20 15:20:51,2026-02-26 08:36:45,2,SI,sql/euroamer_admin_2008.VentasPaisAnual_Obtener.sql
euroamer_admin_2008,VentasPaisAnual_Obtener_old,2026-02-26 08:36:19,2026-02-26 08:36:19,2,NO,sql/euroamer_admin_2008.VentasPaisAnual_Obtener_old.sql
euroamer_admin_2008,VentasPaisMensual_Obtener,2018-03-16 13:44:53,2025-12-31 07:04:52,5,SI,sql/euroamer_admin_2008.VentasPaisMensual_Obtener.sql
euroamer_admin_2008,VentasProductoMensuales_Obtener,2025-03-25 09:23:57,2025-03-27 08:28:17,7,SI,sql/euroamer_admin_2008.VentasProductoMensuales_Obtener.sql
euroamer_admin_2008,VentasPromotorAnual_Obtener,2018-02-20 13:50:53,2025-10-28 02:59:06,4,SI,sql/euroamer_admin_2008.VentasPromotorAnual_Obtener.sql
